sku;produto;categoria;unidade_medida;estoque_atual;estoque_minimo;estoque_maximo;consumo_medio_mensal;custo_unitario;lead_time_dias;fornecedor;deposito;classe_abc;data_ultima_movimentacao
SKU-2033;Óculos de segurança Série C-30;EPI;PAR;36;52;180;133;1134.85;15;Fornecedor Beta;CD Santos;B;2026-03-26
SKU-2034;Chave combinada Série D-40;Ferramentas;UN;12;86;404;27;749.3;45;Fornecedor Gama;CD Curitiba;A;2026-08-11
SKU-2035;Disco de corte Série E-50;Ferramentas;UN;35;78;382;115;1943.24;10;Delta Manutenção;CD Curitiba;B;2025-12-23
SKU-2036;Desengraxante Série A-60;Lubrificantes;L;19;105;250;59;1684.93;10;Conecta Suprimentos;CD Campinas;B;2026-02-11
SKU-2037;Broca de aço rápido Série B-70;Ferramentas;UN;42;63;217;141;2066.78;30;Fornecedor Gama;CD Campinas;B;2026-01-29
SKU-2038;Rolamento rígido de esferas Série C-80;Rolamentos;UN;6;27;342;51;2568.36;30;Brasil Industrial;CD Campinas;B;2026-07-18
SKU-2039;Óleo de engrenagem Série D-90;Lubrificantes;L;16;138;222;90;277.13;15;Eixo Forte;CD Santos;B;2026-07-25
SKU-2040;Arruela lisa Série E-100;Fixadores;UN;1;26;94;91;943.39;10;Fornecedor Gama;CD Curitiba;B;2026-04-27
SKU-2041;Porca sextavada Série A-10;Fixadores;UN;18;28;343;146;1188.88;5;Atlas Componentes;CD Curitiba;B;2025-11-10
SKU-2042;Mancal com rolamento Série B-20;Rolamentos;UN;51;130;189;138;751.9;45;Brasil Industrial;CD Campinas;B;2026-07-27
SKU-2043;Alicate universal Série C-30;Ferramentas;UN;20;92;275;94;1712.9;45;Brasil Industrial;CD Curitiba;B;2026-04-21
SKU-2044;Contator industrial Série D-40;Elétrica;UN;0;79;205;64;471.23;3;Fornecedor Alfa;CD Santos;A;2026-05-27
SKU-2045;Filme stretch Série E-50;Embalagens;UN;22;55;118;38;826.72;15;Brasil Industrial;CD Santos;A;2026-05-23
SKU-2046;Alicate universal Série A-60;Ferramentas;UN;314;111;254;55;2264.45;20;Conecta Suprimentos;CD Curitiba;A;2025-12-13
SKU-2047;Disco de corte Série B-70;Ferramentas;UN;529;34;244;86;492.05;45;Conecta Suprimentos;CD Santos;A;2026-07-31
SKU-2048;Mancal com rolamento Série C-80;Rolamentos;UN;462;61;112;140;1427.15;15;Brasil Industrial;CD Curitiba;A;2026-01-02
SKU-2049;Protetor auricular Série D-90;EPI;PAR;594;106;222;26;1546.44;30;Fornecedor Beta;CD Curitiba;A;2026-05-15
SKU-2050;Caixa de papelão Série E-100;Embalagens;UN;471;108;401;80;485.5;20;Conecta Suprimentos;CD Campinas;A;2026-06-23
SKU-2051;Chave combinada Série A-10;Ferramentas;UN;456;52;138;109;1184.28;20;Conecta Suprimentos;CD Santos;A;2026-04-11
SKU-2052;Parafuso sextavado Série B-20;Fixadores;UN;394;24;80;120;2586.06;15;Conecta Suprimentos;CD Campinas;A;2025-11-29
SKU-2053;Desengraxante Série C-30;Lubrificantes;L;787;109;395;28;1106.86;45;Delta Manutenção;CD Santos;A;2026-03-04
SKU-2054;Contator industrial Série D-40;Elétrica;UN;539;115;177;90;1869.05;30;Fornecedor Alfa;CD Santos;A;2026-08-02
SKU-2055;Fita adesiva Série E-50;Embalagens;UN;680;103;309;95;195.88;30;Atlas Componentes;CD Santos;A;2025-11-28
SKU-2056;Disjuntor tripolar Série A-60;Elétrica;UN;432;33;207;10;1847.47;15;Brasil Industrial;CD Campinas;A;2026-02-22
SKU-2057;Protetor auricular Série B-70;EPI;PAR;533;62;196;107;1558.43;15;Fornecedor Beta;CD Curitiba;A;2026-08-12
SKU-2058;Óculos de segurança Série C-80;EPI;PAR;486;15;205;67;1299.59;15;Conecta Suprimentos;CD Campinas;A;2026-02-27
SKU-2059;Óleo de engrenagem Série D-90;Lubrificantes;L;479;132;247;151;1024.45;45;Fornecedor Beta;CD Campinas;A;2026-01-30
SKU-2060;Pallet plástico Série E-100;Embalagens;UN;606;131;355;104;1883.87;45;Fornecedor Alfa;CD Santos;A;2026-01-03
SKU-2061;Óleo hidráulico Série A-10;Lubrificantes;L;639;127;340;25;860.44;30;Fornecedor Gama;CD Curitiba;A;2026-04-05
SKU-2062;Disjuntor tripolar Série B-20;Elétrica;UN;574;105;374;102;1873.76;20;Eixo Forte;CD Santos;A;2026-07-19
SKU-2063;Fita adesiva Série C-30;Embalagens;UN;287;92;170;32;1267.74;45;Atlas Componentes;CD Santos;A;2026-04-07
SKU-2064;Arruela lisa Série D-40;Fixadores;UN;463;40;153;101;1226.15;15;Fornecedor Beta;CD Campinas;A;2026-04-05
SKU-2065;Cabo elétrico Série E-50;Elétrica;UN;424;136;281;134;485.04;15;Brasil Industrial;CD Campinas;A;2026-08-11
SKU-2066;Fita adesiva Série A-60;Embalagens;UN;256;92;208;69;1296.99;45;Fornecedor Gama;CD Curitiba;A;2026-03-24
SKU-2067;Filme stretch Série B-70;Embalagens;UN;427;88;167;73;1241.33;45;Fornecedor Beta;CD Campinas;A;2026-07-21
SKU-2068;Porca sextavada Série C-80;Fixadores;UN;725;84;392;63;855.73;20;Conecta Suprimentos;CD Campinas;A;2026-06-08
SKU-2069;Graxa industrial Série D-90;Lubrificantes;L;493;130;195;161;853.03;20;Fornecedor Alfa;CD Campinas;A;2026-04-15
SKU-2070;Desengraxante Série E-100;Lubrificantes;L;210;58;167;164;1331.31;45;Delta Manutenção;CD Curitiba;A;2026-05-02
SKU-2071;Luva de proteção Série A-10;EPI;PAR;444;44;242;17;2163.23;45;Eixo Forte;CD Campinas;A;2026-06-09
SKU-2072;Porca sextavada Série B-20;Fixadores;UN;436;18;100;14;168.31;15;Atlas Componentes;CD Santos;A;2026-07-15
SKU-2073;Chave combinada Série C-30;Ferramentas;UN;563;124;438;135;788.77;45;Fornecedor Alfa;CD Campinas;A;2026-03-25
SKU-2074;Contator industrial Série D-40;Elétrica;UN;445;88;329;165;1039.2;20;Conecta Suprimentos;CD Curitiba;A;2026-01-24
SKU-2075;Rolamento rígido de esferas Série E-50;Rolamentos;UN;249;136;188;16;1920.33;15;Fornecedor Gama;CD Curitiba;A;2026-06-21
SKU-2076;Mancal com rolamento Série A-60;Rolamentos;UN;681;17;298;54;552.46;30;Eixo Forte;CD Campinas;A;2026-03-06
SKU-2077;Óculos de segurança Série B-70;EPI;PAR;619;48;322;111;744.93;20;Eixo Forte;CD Curitiba;A;2026-06-13
SKU-2078;Graxa industrial Série C-80;Lubrificantes;L;466;122;336;142;724.56;15;Delta Manutenção;CD Curitiba;A;2026-01-15
SKU-2079;Disco de corte Série D-90;Ferramentas;UN;523;137;408;138;429.55;20;Conecta Suprimentos;CD Santos;A;2026-06-16
SKU-2080;Pallet plástico Série E-100;Embalagens;UN;389;52;237;167;1397.86;30;Conecta Suprimentos;CD Campinas;A;2026-07-09
SKU-2081;Cabo elétrico Série A-10;Elétrica;UN;66;92;340;34;186.14;3;Conecta Suprimentos;CD Curitiba;A;2026-07-21
SKU-2082;Parafuso Allen Série B-20;Fixadores;UN;94;95;262;82;195.53;45;Delta Manutenção;CD Santos;B;2025-11-30
SKU-2083;Óleo de engrenagem Série C-30;Lubrificantes;L;8;25;192;12;145.01;3;Delta Manutenção;CD Santos;B;2026-06-16
SKU-2084;Sensor indutivo Série D-40;Elétrica;UN;61;96;387;131;37.1;3;Brasil Industrial;CD Curitiba;A;2026-03-23
SKU-2085;Disjuntor tripolar Série E-50;Elétrica;UN;29;80;133;51;338.66;5;Atlas Componentes;CD Campinas;A;2026-04-29
SKU-2086;Mancal com rolamento Série A-60;Rolamentos;UN;17;25;107;28;304.18;15;Eixo Forte;CD Campinas;A;2026-05-12
SKU-2087;Parafuso Allen Série B-70;Fixadores;UN;87;121;206;18;401.23;7;Fornecedor Gama;CD Campinas;A;2026-05-25
SKU-2088;Disco de corte Série C-80;Ferramentas;UN;67;69;331;108;414.22;30;Eixo Forte;CD Santos;C;2026-05-27
SKU-2089;Pallet plástico Série D-90;Embalagens;UN;17;22;145;12;331.83;5;Brasil Industrial;CD Curitiba;B;2026-07-11
SKU-2090;Luva de proteção Série E-100;EPI;PAR;13;104;195;167;10.78;5;Fornecedor Gama;CD Campinas;C;2026-02-20
SKU-2091;Disco de corte Série A-10;Ferramentas;UN;49;130;248;60;21.6;5;Fornecedor Alfa;CD Santos;A;2026-03-09
SKU-2092;Desengraxante Série B-20;Lubrificantes;L;35;39;112;80;344.04;7;Fornecedor Alfa;CD Campinas;A;2026-07-22
SKU-2093;Porca sextavada Série C-30;Fixadores;UN;16;43;136;26;157.87;5;Fornecedor Gama;CD Campinas;B;2025-11-14
SKU-2094;Parafuso sextavado Série D-40;Fixadores;UN;102;129;217;125;245.24;20;Fornecedor Beta;CD Campinas;B;2026-03-27
SKU-2095;Cabo elétrico Série E-50;Elétrica;UN;96;128;349;14;259.06;30;Fornecedor Alfa;CD Curitiba;B;2026-05-25
SKU-2096;Alicate universal Série A-60;Ferramentas;UN;23;35;106;136;237.85;3;Conecta Suprimentos;CD Santos;B;2025-11-24
SKU-2097;Filme stretch Série B-70;Embalagens;UN;22;127;435;75;182.05;5;Atlas Componentes;CD Curitiba;A;2025-12-02
SKU-2098;Cabo elétrico Série C-80;Elétrica;UN;70;88;340;81;56.19;15;Fornecedor Beta;CD Campinas;B;2026-03-30
SKU-2099;Chave combinada Série D-90;Ferramentas;UN;38;50;349;17;367.05;10;Conecta Suprimentos;CD Curitiba;B;2026-02-10
SKU-2100;Arruela lisa Série E-100;Fixadores;UN;2;15;303;53;181.99;15;Delta Manutenção;CD Santos;C;2026-04-15
SKU-2101;Mancal com rolamento Série A-10;Rolamentos;UN;60;109;214;30;291.89;10;Eixo Forte;CD Santos;A;2025-11-26
SKU-2102;Capacete de segurança Série B-20;EPI;PAR;31;120;186;24;14.03;3;Brasil Industrial;CD Santos;A;2025-12-07
SKU-2103;Protetor auricular Série C-30;EPI;PAR;92;134;335;107;312.43;10;Conecta Suprimentos;CD Santos;C;2026-08-03
SKU-2104;Pallet plástico Série D-40;Embalagens;UN;135;137;281;19;284.19;20;Fornecedor Beta;CD Santos;A;2026-03-08
SKU-2105;Luva de proteção Série E-50;EPI;PAR;28;82;241;132;358.7;5;Eixo Forte;CD Curitiba;B;2026-02-26
SKU-2106;Capacete de segurança Série A-60;EPI;PAR;18;31;236;86;103.84;3;Atlas Componentes;CD Curitiba;A;2026-05-02
SKU-2107;Óleo hidráulico Série B-70;Lubrificantes;L;70;110;253;75;378.61;7;Atlas Componentes;CD Curitiba;B;2026-08-11
SKU-2108;Parafuso Allen Série C-80;Fixadores;UN;38;48;343;111;368.86;7;Atlas Componentes;CD Campinas;A;2026-05-19
SKU-2109;Rolamento de rolos cônicos Série D-90;Rolamentos;UN;0;18;111;96;54.68;7;Atlas Componentes;CD Santos;A;2026-02-14
SKU-2110;Óleo hidráulico Série E-100;Lubrificantes;L;8;22;291;156;199.75;10;Brasil Industrial;CD Santos;C;2026-04-14
SKU-2111;Rolamento autocompensador Série A-10;Rolamentos;UN;62;96;212;49;244.58;3;Conecta Suprimentos;CD Curitiba;B;2026-01-05
SKU-2112;Parafuso Allen Série B-20;Fixadores;UN;5;41;177;30;172.3;3;Delta Manutenção;CD Curitiba;A;2025-12-02
SKU-2113;Rolamento rígido de esferas Série C-30;Rolamentos;UN;22;38;232;54;87.67;10;Delta Manutenção;CD Santos;A;2025-11-09
SKU-2114;Filme stretch Série D-40;Embalagens;UN;13;134;280;36;186.12;10;Fornecedor Beta;CD Santos;C;2026-05-03
SKU-2115;Desengraxante Série E-50;Lubrificantes;L;20;52;343;76;446.33;5;Conecta Suprimentos;CD Santos;B;2026-06-30
SKU-2116;Óleo de engrenagem Série A-60;Lubrificantes;L;14;26;82;143;269.99;3;Delta Manutenção;CD Campinas;C;2026-07-16
SKU-2117;Mancal com rolamento Série B-70;Rolamentos;UN;50;92;159;179;430.78;3;Fornecedor Beta;CD Curitiba;B;2026-06-03
SKU-2118;Rolamento autocompensador Série C-80;Rolamentos;UN;43;59;181;145;190.0;10;Conecta Suprimentos;CD Curitiba;B;2026-05-20
SKU-2119;Filme stretch Série D-90;Embalagens;UN;41;103;293;85;104.05;10;Brasil Industrial;CD Santos;B;2026-04-02
SKU-2120;Cabo elétrico Série E-100;Elétrica;UN;42;130;413;45;435.57;10;Eixo Forte;CD Santos;C;2026-02-20
SKU-2121;Parafuso Allen Série A-10;Fixadores;UN;60;91;157;51;79.7;3;Atlas Componentes;CD Campinas;B;2026-03-20
SKU-2122;Desengraxante Série B-20;Lubrificantes;L;20;66;134;24;98.43;5;Fornecedor Alfa;CD Curitiba;B;2026-05-15
SKU-2123;Mancal com rolamento Série C-30;Rolamentos;UN;50;120;260;17;268.22;3;Eixo Forte;CD Santos;C;2025-11-11
SKU-2124;Capacete de segurança Série D-40;EPI;PAR;34;98;296;95;370.58;7;Fornecedor Alfa;CD Campinas;C;2026-01-01
SKU-2125;Óleo de engrenagem Série E-50;Lubrificantes;L;90;135;195;100;24.31;7;Fornecedor Alfa;CD Curitiba;A;2026-07-02
SKU-2126;Arruela lisa Série A-60;Fixadores;UN;384;131;383;44;277.83;15;Conecta Suprimentos;CD Campinas;A;2026-03-07
SKU-2127;Óculos de segurança Série B-70;EPI;PAR;507;78;199;122;234.13;15;Conecta Suprimentos;CD Santos;B;2025-11-11
SKU-2128;Disjuntor tripolar Série C-80;Elétrica;UN;387;128;207;159;411.69;15;Fornecedor Gama;CD Santos;C;2026-01-15
SKU-2129;Rolamento autocompensador Série D-90;Rolamentos;UN;592;19;292;137;36.97;30;Fornecedor Alfa;CD Curitiba;C;2026-01-16
SKU-2130;Caixa de papelão Série E-100;Embalagens;UN;520;84;314;86;125.18;30;Fornecedor Gama;CD Campinas;B;2026-03-24
SKU-2131;Chave combinada Série A-10;Ferramentas;UN;497;66;326;92;166.66;30;Brasil Industrial;CD Campinas;B;2026-07-09
SKU-2132;Graxa industrial Série B-20;Lubrificantes;L;496;73;367;179;130.75;30;Fornecedor Beta;CD Curitiba;B;2025-12-20
SKU-2133;Arruela lisa Série C-30;Fixadores;UN;453;30;166;139;289.99;15;Eixo Forte;CD Campinas;C;2026-04-08
SKU-2134;Alicate universal Série D-40;Ferramentas;UN;357;64;221;145;162.82;10;Conecta Suprimentos;CD Campinas;C;2026-03-23
SKU-2135;Desengraxante Série E-50;Lubrificantes;L;564;124;288;134;203.46;3;Fornecedor Gama;CD Santos;B;2025-12-10
SKU-2136;Fita adesiva Série A-60;Embalagens;UN;441;20;104;54;171.87;15;Eixo Forte;CD Santos;B;2026-02-02
SKU-2137;Mancal com rolamento Série B-70;Rolamentos;UN;388;125;227;174;312.89;7;Atlas Componentes;CD Curitiba;A;2026-01-16
SKU-2138;Sensor indutivo Série C-80;Elétrica;UN;361;102;284;175;176.96;20;Brasil Industrial;CD Curitiba;B;2026-02-03
SKU-2139;Protetor auricular Série D-90;EPI;PAR;205;55;106;63;365.33;3;Eixo Forte;CD Santos;B;2026-04-18
SKU-2140;Disco de corte Série E-100;Ferramentas;UN;544;61;221;66;116.24;30;Brasil Industrial;CD Santos;C;2025-12-28
SKU-2141;Caixa de papelão Série A-10;Embalagens;UN;614;85;254;112;277.49;30;Conecta Suprimentos;CD Curitiba;C;2026-07-17
SKU-2142;Capacete de segurança Série B-20;EPI;PAR;338;76;204;54;301.29;3;Eixo Forte;CD Curitiba;A;2026-03-17
SKU-2143;Óleo hidráulico Série C-30;Lubrificantes;L;371;61;300;38;79.06;10;Fornecedor Gama;CD Campinas;C;2025-12-11
SKU-2144;Parafuso sextavado Série D-40;Fixadores;UN;306;90;220;72;305.28;7;Fornecedor Beta;CD Santos;C;2026-03-28
SKU-2145;Disjuntor tripolar Série E-50;Elétrica;UN;451;58;114;47;366.75;7;Eixo Forte;CD Campinas;B;2025-11-17
SKU-2146;Chave combinada Série A-60;Ferramentas;UN;584;122;327;110;155.37;7;Conecta Suprimentos;CD Santos;B;2025-12-28
SKU-2147;Filme stretch Série B-70;Embalagens;UN;456;79;160;90;424.42;15;Delta Manutenção;CD Santos;C;2026-01-22
SKU-2148;Rolamento de rolos cônicos Série C-80;Rolamentos;UN;370;70;240;118;38.91;30;Atlas Componentes;CD Santos;C;2025-12-09
SKU-2149;Graxa industrial Série D-90;Lubrificantes;L;362;112;336;82;377.5;3;Atlas Componentes;CD Santos;A;2026-03-03
SKU-2150;Chave combinada Série E-100;Ferramentas;UN;527;83;206;41;63.0;20;Eixo Forte;CD Campinas;B;2026-03-07
SKU-2151;Pallet plástico Série A-10;Embalagens;UN;459;90;381;79;122.09;45;Fornecedor Alfa;CD Santos;B;2026-04-25
SKU-2152;Óculos de segurança Série B-20;EPI;PAR;347;16;120;128;276.31;15;Fornecedor Gama;CD Santos;C;2026-04-18
SKU-2153;Desengraxante Série C-30;Lubrificantes;L;205;50;104;170;255.42;7;Atlas Componentes;CD Santos;C;2026-06-09
SKU-2154;Porca sextavada Série D-40;Fixadores;UN;566;89;296;178;305.92;30;Eixo Forte;CD Curitiba;C;2026-05-08
SKU-2155;Disjuntor tripolar Série E-50;Elétrica;UN;429;47;153;21;128.48;5;Brasil Industrial;CD Curitiba;A;2026-05-02
SKU-2156;Óleo de engrenagem Série A-60;Lubrificantes;L;469;129;285;25;207.24;45;Eixo Forte;CD Santos;C;2026-02-12
SKU-2157;Rolamento de rolos cônicos Série B-70;Rolamentos;UN;554;98;284;116;125.0;30;Fornecedor Gama;CD Campinas;B;2026-02-16
SKU-2158;Sensor indutivo Série C-80;Elétrica;UN;528;116;426;47;396.82;5;Brasil Industrial;CD Campinas;C;2026-02-21
SKU-2159;Parafuso Allen Série D-90;Fixadores;UN;673;111;283;28;432.22;10;Conecta Suprimentos;CD Campinas;B;2026-01-09
SKU-2160;Rolamento rígido de esferas Série E-100;Rolamentos;UN;653;53;288;8;152.5;10;Delta Manutenção;CD Campinas;B;2026-05-09
SKU-2161;Fita adesiva Série A-10;Embalagens;UN;543;96;323;48;347.47;5;Atlas Componentes;CD Campinas;A;2026-08-02
SKU-2162;Luva de proteção Série B-20;EPI;PAR;430;69;252;12;148.93;20;Delta Manutenção;CD Curitiba;C;2026-02-12
SKU-2163;Desengraxante Série C-30;Lubrificantes;L;258;125;226;119;164.75;3;Fornecedor Gama;CD Campinas;B;2026-03-19
SKU-2164;Óleo hidráulico Série D-40;Lubrificantes;L;534;36;244;48;118.06;5;Brasil Industrial;CD Campinas;C;2025-11-06
SKU-2165;Broca de aço rápido Série E-50;Ferramentas;UN;378;96;261;64;105.32;20;Delta Manutenção;CD Santos;C;2026-06-29
SKU-2166;Desengraxante Série A-60;Lubrificantes;L;142;32;130;94;402.51;20;Fornecedor Alfa;CD Curitiba;B;2026-07-11
SKU-2167;Óculos de segurança Série B-70;EPI;PAR;307;125;184;163;154.72;45;Fornecedor Gama;CD Curitiba;C;2026-05-14
SKU-2168;Protetor auricular Série C-80;EPI;PAR;362;18;163;77;439.66;10;Fornecedor Alfa;CD Santos;B;2026-04-25
SKU-2169;Luva de proteção Série D-90;EPI;PAR;552;51;228;164;236.85;7;Delta Manutenção;CD Santos;B;2025-12-03
SKU-2170;Filme stretch Série E-100;Embalagens;UN;319;77;256;25;288.6;15;Fornecedor Gama;CD Santos;C;2026-05-05
SKU-2171;Disjuntor tripolar Série A-10;Elétrica;UN;93;113;190;161;14.49;7;Fornecedor Beta;CD Campinas;B;2026-04-02
SKU-2172;Protetor auricular Série B-20;EPI;PAR;32;46;223;77;18.38;7;Delta Manutenção;CD Santos;B;2025-12-16
SKU-2173;Desengraxante Série C-30;Lubrificantes;L;60;68;140;39;55.38;7;Atlas Componentes;CD Santos;B;2026-07-08
SKU-2174;Óleo hidráulico Série D-40;Lubrificantes;L;73;89;139;174;11.51;7;Delta Manutenção;CD Curitiba;C;2026-03-31
SKU-2175;Disco de corte Série E-50;Ferramentas;UN;71;93;152;93;10.78;10;Fornecedor Gama;CD Campinas;C;2026-03-31
SKU-2176;Parafuso Allen Série A-60;Fixadores;UN;59;62;159;56;47.11;10;Eixo Forte;CD Curitiba;B;2026-04-23
SKU-2177;Óleo hidráulico Série B-70;Lubrificantes;L;22;39;315;45;20.48;10;Conecta Suprimentos;CD Santos;C;2025-12-03
SKU-2178;Mancal com rolamento Série C-80;Rolamentos;UN;15;43;253;121;44.65;3;Brasil Industrial;CD Curitiba;C;2025-11-08
SKU-2179;Graxa industrial Série D-90;Lubrificantes;L;104;129;309;85;23.36;3;Fornecedor Gama;CD Curitiba;B;2025-12-07
SKU-2180;Arruela lisa Série E-100;Fixadores;UN;67;89;161;67;38.85;20;Fornecedor Beta;CD Campinas;C;2025-12-31
SKU-2181;Fita adesiva Série A-10;Embalagens;UN;85;108;284;168;35.46;5;Fornecedor Beta;CD Santos;B;2025-11-26
SKU-2182;Filme stretch Série B-20;Embalagens;UN;12;24;104;120;4.24;3;Fornecedor Gama;CD Campinas;B;2026-06-07
SKU-2183;Mancal com rolamento Série C-30;Rolamentos;UN;40;43;138;56;38.94;5;Delta Manutenção;CD Santos;B;2026-03-08
SKU-2184;Óleo de engrenagem Série D-40;Lubrificantes;L;37;66;319;92;23.1;10;Fornecedor Alfa;CD Campinas;C;2026-05-02
SKU-2185;Alicate universal Série E-50;Ferramentas;UN;78;95;190;95;44.0;3;Delta Manutenção;CD Curitiba;C;2025-11-22
SKU-2186;Disco de corte Série A-60;Ferramentas;UN;108;140;321;144;11.28;20;Conecta Suprimentos;CD Campinas;B;2026-04-29
SKU-2187;Protetor auricular Série B-70;EPI;PAR;43;139;281;125;6.95;10;Eixo Forte;CD Curitiba;C;2026-04-25
SKU-2188;Cabo elétrico Série C-80;Elétrica;UN;27;78;318;21;55.95;20;Delta Manutenção;CD Santos;C;2026-08-10
SKU-2189;Sensor indutivo Série D-90;Elétrica;UN;64;99;190;167;22.17;5;Brasil Industrial;CD Curitiba;C;2026-02-24
SKU-2190;Mancal com rolamento Série E-100;Rolamentos;UN;87;92;178;91;58.32;7;Delta Manutenção;CD Campinas;C;2026-08-09
SKU-2191;Contator industrial Série A-10;Elétrica;UN;45;89;237;104;32.86;5;Conecta Suprimentos;CD Santos;C;2026-07-31
SKU-2192;Parafuso Allen Série B-20;Fixadores;UN;122;134;434;52;39.91;45;Fornecedor Beta;CD Campinas;C;2025-11-03
SKU-2193;Porca sextavada Série C-30;Fixadores;UN;29;55;213;12;20.76;30;Delta Manutenção;CD Santos;B;2025-11-19
SKU-2194;Porca sextavada Série D-40;Fixadores;UN;64;72;250;175;57.53;3;Delta Manutenção;CD Campinas;C;2026-02-12
SKU-2195;Desengraxante Série E-50;Lubrificantes;L;94;98;203;49;37.45;3;Atlas Componentes;CD Curitiba;C;2025-11-29
SKU-2196;Contator industrial Série A-60;Elétrica;UN;21;34;211;38;28.7;5;Delta Manutenção;CD Curitiba;C;2025-12-10
SKU-2197;Graxa industrial Série B-70;Lubrificantes;L;69;102;350;165;49.93;10;Fornecedor Alfa;CD Santos;C;2026-01-23
